"","AT","P","D","SW","EXTENSION","A","RTP"
"1","LSTM",9059721,"Amazon",35.39,"baseline",93.33,195
"2","LSTM",9124261,"Amazon",36.5,"nn",46.66,202
"3","LSTM",9251926,"Amazon",37.01,"nn",53.33,202
"4","LSTM",9578181,"Amazon",38.32,"nn",46.66,202
"5","LSTM",27178961,"Amazon",108.72,"emb",93.33,195
"6","LSTM",57981669,"Amazon",231.93,"emb",93.33,195
"7","LSTM",115963237,"Amazon",463.85,"emb",53.33,195
